seqnames,start,end,width,T0,T20,T60,T2H,T4H,T24H,LR
chr10,100148537,100149145,609,6.30861502339211,5.99731378441907,6.37111764687151,7.02263429809577,8.32014466122176,8.14469070874701,-3.96546
chr10,101161833,101162364,532,7.33823565594646,6.94781071784569,6.95845963976015,6.88083167366039,6.67930623692456,7.08286599775492,-1.17149
chr10,101397063,101397480,418,6.60720151560121,6.79853595621544,6.33377826163315,6.11194169592212,5.57241963299235,5.07742355520351,-7.06772
chr10,101442197,101442458,262,5.68341291181255,5.56478448745506,6.18795225328542,6.18616879804727,6.19716437782458,6.00423505294317,-1.06531
chr10,101467306,101467557,252,5.65299618092312,6.20573494503764,6.29544673486422,6.13711079148242,5.84716726611436,5.68135056170934,-4.30695
chr10,101495356,101495528,173,5.3458449796557,4.13320325979906,4.21907972836723,4.51788907918208,4.44603446313786,5.22012398925123,-1.25567
chr10,102009792,102010357,566,6.90696190744049,6.88186643890073,6.51150173985022,6.44992028482196,6.45144292662007,6.68374036484234,-3.22455
chr10,102635546,102635685,140,6.18650866373153,6.22713825241755,6.25606889982045,6.30197702019088,5.94781144146432,5.43046702554421,-3.5141
chr10,102660951,102661638,688,7.69242788211057,7.48067788736125,7.44056828067166,7.33692080799381,7.32839009427706,8.13871320858428,-4.31531
chr10,102752527,102752742,216,5.62192432896117,5.09149822425755,5.20760637766415,5.48605390181876,5.54697556636532,5.02653780538171,-1.70145
chr10,102803228,102803523,296,4.79717580479719,5.46021195551005,5.61285028350543,5.66975006450897,6.53146344379587,6.15398879034033,-1.32332
chr10,103053864,103054747,884,7.87481762614247,8.05996659005864,7.75966165927149,7.17622808484711,7.19551044936671,7.69311445466422,-2.19788
chr10,103428772,103428898,127,5.09743764743477,4.78010995658671,4.60071499189284,4.66358108840994,5.16745309932728,5.46909095866131,-2.14436
chr10,10363806,10364000,195,5.3833852889155,4.99498179527768,5.12258158197296,4.17320001710883,3.92045733068055,5.12657547848994,-1.11499
chr10,103696534,103696760,227,6.47434342816581,6.13955122013892,6.83917377586432,6.92485478806309,7.12847505501627,6.92511577525856,-1.12293
chr10,103771958,103772855,898,7.98880748412935,7.82750640229298,7.78293755576731,7.86719636755983,7.98804416181031,7.74911598634548,-1.15736
chr10,103888230,103888941,712,6.97000875932429,7.31064871075917,7.69241751511395,7.71671468773982,7.98330938559253,7.54731096233843,-3.17454
chr10,104028078,104028481,404,6.20759098479917,6.36867954036486,6.62919087260279,6.68993433514084,6.66754846888715,6.10577764125669,-5.77014
chr10,104222717,104222899,183,4.5554870779691,4.94418900722656,4.86780584734532,4.85777088513219,4.60242404634431,4.38491774823238,-1.07748
chr10,104260225,104261049,825,6.63858863960213,6.81276292479605,7.50916705604262,7.32601780783767,8.16572050473097,7.60046973149775,-1.00184
chr10,10589642,10590015,374,5.3833852889155,5.92056540055765,5.06298042658673,5.18185881142586,5.69331477485038,7.11974841386754,-1.60696
chr10,107322234,107322379,146,5.3458449796557,4.45682687705648,4.51434818930097,3.96407440613584,3.66062331636281,4.21352331915905,-1.38926
chr10,10783962,10784180,219,4.68138667304556,4.83690183122187,4.55817778667384,4.79590038372914,4.78762631941209,5.68135056170934,-1.39632
chr10,109118822,109119023,202,4.09439508373918,4.38246950909199,3.24175627236108,2.8249792920125,3.34348253631225,4.91904315407099,-3.76108
chr10,109910332,109910536,205,6.22836965863438,6.16195151493024,6.22920692929416,6.08632569495143,6.00499150281777,5.30797416634098,-5.08975
chr10,109939685,109939833,149,5.45565667390192,4.65934456819005,5.00081050308513,5.52471203007689,5.66993264961427,4.86213503347827,-2.11816
chr10,109978512,109978769,258,6.09895652643656,5.83950362405872,5.86049819415542,5.52471203007689,5.62199985825705,5.50670775371092,-1.59745
chr10,110039916,110040355,440,5.26770031576371,5.81143827741664,5.80700512072057,6.34581694800461,6.45144292662007,6.05589953392676,-1.46929
chr10,110058053,110058263,211,4.26499676518453,4.30407046410992,4.60071499189284,4.59257340960083,4.74350662257495,5.30797416634098,-5.78088
chr10,110080943,110081134,192,6.12134769434889,6.74018217394183,5.69367369495936,4.91709679921989,5.41255455238495,5.12657547848994,-1.29733
chr10,110101574,110102497,924,6.45684172959059,6.13955122013892,6.70912876461814,6.98153750747037,7.11121795000954,8.07753520818382,-5.45155
chr10,110156880,110157188,309,5.93166009770941,6.36867954036486,6.02571160050784,5.73714404258125,5.80485777460951,6.03029855124611,-1.39078
chr10,110273569,110274064,496,6.30861502339211,6.54946368676922,7.1424734377491,7.06259275237466,7.49065984166041,6.85393065576834,-1.51565
chr10,110364600,110364871,272,5.71320157740104,5.09149822425755,4.79640347582184,5.86316441301823,6.8026866207154,6.91115697297451,-2.68432
chr10,110387961,110388546,586,6.57511632128753,6.34928987355253,6.17393430759891,6.86585363435204,7.93508682034359,7.23629472317395,-2.06684
chr10,110426018,110426392,375,5.59016851333716,5.46021195551005,5.80700512072057,5.44633131059593,6.87604090969442,7.37496362614752,-1.15689
chr10,110441806,110442040,235,5.90609456365831,6.16195151493024,6.34633240864353,6.36724725546697,6.30734474978352,6.05589953392676,-8.83943
chr10,110460617,110460790,174,5.49047854536449,5.56478448745506,5.788724061649,6.03368745255404,6.13020760011796,5.95065147289045,-7.29785
chr10,110512648,110513467,820,6.52560957486019,6.85462092969288,6.76630342502351,7.68293063773063,8.48329381707864,8.02016519278896,-2.31386
chr10,110528745,110529539,795,6.52560957486019,6.49756661484598,7.04572113623807,7.16403500929859,8.50657957967323,8.29737689248881,-2.24118
chr10,110535863,110536662,800,7.21871647449182,6.98597730002862,7.65253653305378,7.62183530969159,8.45962603718369,8.42073529651206,-2.19666
chr10,110557003,110557279,277,6.30861502339211,6.02201533142515,6.08683989143552,6.00663015093695,6.00499150281777,6.45271348767255,-1.38767
chr10,110618337,110618556,220,5.41997348582663,5.46021195551005,5.71319135861211,6.06024663062615,6.09552664315336,6.95263462349551,-6.83361
chr10,110641303,110641485,183,5.14192386560046,5.34746305612683,5.99414792176832,5.70384054759933,6.16407439466762,6.08105413051901,-1.17755
chr10,11070549,11070750,202,5.41997348582663,4.59494646068245,4.51434818930097,4.66358108840994,4.78762631941209,5.12657547848994,-3.10785
chr10,110850728,110850941,214,4.34328410015616,4.38246950909199,4.55817778667384,5.18185881142586,5.23274143186259,5.54336860192447,-4.18322
chr10,110902170,110902757,588,6.02961920240824,6.44373279965767,6.45465891123761,6.6022817851243,6.96518433803621,6.50940480118709,-1.19687
chr10,11149360,11151154,1795,10.0443551860412,10.078161265665,10.1568615095307,8.90497360836844,9.26229506817476,8.19740212659165,-1.31266
chr10,11191311,11191474,164,6.36599934354476,5.89404768072724,5.38844238897142,5.52471203007689,5.26431004855217,5.57912088811703,-2.0561
chr10,111944318,111944491,174,5.90609456365831,5.56478448745506,4.75933181997982,4.51788907918208,5.06362256343116,4.60898768483527,-1.8322
chr10,112227009,112227139,131,5.88006780552379,4.30407046410992,3.69868750505081,4.07242311967601,3.99761645307196,4.01898677528215,-1.90885
