ATACchr ATACstart ATACend
chr1 154441304 154442061
chr1 154463332 154464053
chr1 161440388 161440730
chr10 6347464 6348859
chr10 62019800 62020273
chr11 61120324 61121198
chr11 61129507 61130252
chr11 61827550 61828997
chr11 118789979 118792044
chr11 118869978 118870952
chr12 55973180 55974489
chr12 57693531 57694527
chr13 39776707 39776942
chr14 68282773 68283969
chr14 68285524 68285979
chr15 38554298 38554756
chr17 39753831 39754958
chr17 39755485 39756308
chr17 39813513 39814246
chr17 39818954 39820429
chr17 39867003 39868165
chr18 12775599 12776213
chr18 12883104 12884669
chr2 30225083 30225629
chr2 30226561 30226966
chr2 60880819 60882283
chr2 65382433 65383361
chr2 110858360 110859300
chr2 201289614 201289851
chr20 46117987 46118631
chr21 33380291 33381208
chr21 33402794 33404470
chr21 34543975 34544366
chr21 42403121 42404946
chr22 21556743 21557098
chr22 21567481 21568629
chr22 21629153 21630218
chr22 37148120 37148653
chr22 37149360 37150416
chr22 39343476 39343915
chr3 27721064 27722453
chr3 58332649 58333792
chr4 10723002 10723293
chr4 26088592 26088957
chr4 26118555 26118724
chr4 48140790 48141221
chr4 122434386 122434728
chr4 122449959 122451300
chr4 122507859 122508636
chr4 122576594 122577313
chr5 56147989 56149100
chr6 32396120 32396289
chr6 32413394 32413830
chr6 32439583 32439966
chr6 32622524 32623759
chr6 36387291 36388145
chr6 44264894 44265841
chr6 106279306 106279498
chr6 137680981 137681252
chr6 159093722 159093992
chr7 28120337 28120457
chr7 28151977 28152518
chr7 92610046 92610347
chr7 128939144 128939310
chr7 129008699 129008911
chr8 11486349 11486511
chr8 128543213 128544010
chr8 128554789 128555493
chr8 128556674 128557150
chr9 120875971 120877851
chr9 120925623 120926867
chr9 120928788 120929419
