ID ATACchr ATACstart ATACend AT0 AT20 AT1H AT2H AT4H AT24H baitID baitchr baitstart baitend otherEndID otherEndchr otherEndstart otherEndend T0 T20 T1H T4H T24H ENSG ENSGchr ENSGstart ENSGend ET0_a ET20_a ET1H_a ET2H_a ET4H_a ET24H_a BIC_chic BIC_atacseq BIC_gene
106 chr10 102229840 102230646 8.18226466848203 8.21262169861097 8.27833269832613 8.24254299586701 8.32763526534471 8.05866422408676 94823 chr10 102392685 102397837 94777 chr10 102228907 102237770 3.42476117147122 3.36520791336901 3.27902492948499 2.84234479648643 3.84368247153207 ENSG00000077150 chr10 102394110 102402529 11.5070536477773 11.7183326239237 12.7034976764518 13.5820468693254 13.7830440522997 12.5044426943854 1.60963555182108 1.45772454225877 -8.79664607838681
124 chr10 102478872 102479373 8.24478905964853 8.11840540984713 8.32665052136288 8.12165448587384 8.6146252138303 8.02665346662429 94823 chr10 102392685 102397837 94837 chr10 102472601 102479999 5.17351894889089 4.98813462242506 4.73505968996382 4.93056874451058 4.55434332499845 ENSG00000077150 chr10 102394110 102402529 11.5070536477773 11.7183326239237 12.7034976764518 13.5820468693254 13.7830440522997 12.5044426943854 -1.10075854033326 1.79177088345459 -8.79664607838681
127 chr10 102583770 102584294 7.55935387252016 6.82685096470231 7.47527535575887 7.25881060975668 7.32839009427706 7.28039886625185 94823 chr10 102392685 102397837 94866 chr10 102582134 102596284 3.13252458842641 3.09917362891176 3.09415822562736 2.6910340626687 2.87322266919243 ENSG00000077150 chr10 102394110 102402529 11.5070536477773 11.7183326239237 12.7034976764518 13.5820468693254 13.7830440522997 12.5044426943854 1.61009523522666 1.79176947868928 -8.79664607838681
233 chr10 1043539 1044075 7.03041539358144 7.11786968227145 6.83917377586432 6.7068434456073 7.32090341845352 7.17919812957236 65566 chr10 987203 989622 65577 chr10 1043341 1045271 5.64787411818197 5.61039414150168 5.48019152152869 5.76228723600354 5.17592380232271 ENSG00000107937 chr10 988019 1019936 10.6968738268451 10.7658437293202 10.8825251673663 11.7037517033941 12.5763517788046 12.3725432811153 1.6098821495005 1.78855990223461 -13.5086503631972
233 chr10 1043539 1044075 7.03041539358144 7.11786968227145 6.83917377586432 6.7068434456073 7.32090341845352 7.17919812957236 65566 chr10 987203 989622 65577 chr10 1043341 1045271 5.64787411818197 5.61039414150168 5.48019152152869 5.76228723600354 5.17592380232271 ENSG00000205740 chr10 971146 988341 4.6711818983832 3.99277302780387 4.99853875452297 4.62090002255162 5.31193020922592 5.92016603763296 1.6098821495005 1.78855990223461 -0.194797191284055
243 chr10 1050648 1050806 7.03041539358144 7.43542209264038 7.29273452109896 6.40917588200924 6.47861258621981 6.20064080883853 65566 chr10 987203 989622 65581 chr10 1050499 1055506 5.14045073837149 5.05787666384166 5.30906544381684 5.09238739761335 4.1596292443269 ENSG00000205740 chr10 971146 988341 4.6711818983832 3.99277302780387 4.99853875452297 4.62090002255162 5.31193020922592 5.92016603763296 1.61003265526365 0.949777449713899 -0.194797191284055
243 chr10 1050648 1050806 7.03041539358144 7.43542209264038 7.29273452109896 6.40917588200924 6.47861258621981 6.20064080883853 65566 chr10 987203 989622 65581 chr10 1050499 1055506 5.14045073837149 5.05787666384166 5.30906544381684 5.09238739761335 4.1596292443269 ENSG00000107937 chr10 988019 1019936 10.6968738268451 10.7658437293202 10.8825251673663 11.7037517033941 12.5763517788046 12.3725432811153 1.61003265526365 0.949777449713899 -13.5086503631972
333 chr10 110306132 110306540 7.16583852574651 6.97336696282985 7.73600407178604 6.96757424164388 7.72991948912786 6.92511577525856 97278 chr10 110495375 110503186 97229 chr10 110301332 110308227 5.09312534471039 5.60615472195119 5.54599430477609 5.8597189653053 6.16998517359597 ENSG00000138166 chr10 110497838 110511544 10.6857993582228 10.6970519532331 10.9995356950079 11.2758693234769 11.9287756478743 10.2987921649838 -1.06975647198658 1.79177939051099 0.975236302568597
333 chr10 110306132 110306540 7.16583852574651 6.97336696282985 7.73600407178604 6.96757424164388 7.72991948912786 6.92511577525856 97278 chr10 110495375 110503186 97229 chr10 110301332 110308227 5.09312534471039 5.60615472195119 5.54599430477609 5.8597189653053 6.16998517359597 ENSG00000273143 chr10 110428840 110496204 5.21006059798626 4.7080151957708 5.14106158604513 4.94953995722502 6.0233249630486 5.75537289450695 -1.06975647198658 1.79177939051099 -2.71389211001112
334 chr10 110311597 110311763 5.3458449796557 4.45682687705648 4.37425468318362 5.63483449693557 5.35507148219508 5.68135056170934 97278 chr10 110495375 110503186 97230 chr10 110308227 110317618 5.15519802491191 5.28468585469897 5.3608799550811 5.70539288258269 5.80307207159392 ENSG00000273143 chr10 110428840 110496204 5.21006059798626 4.7080151957708 5.14106158604513 4.94953995722502 6.0233249630486 5.75537289450695 1.58834056240936 1.79195007193608 -2.71389211001112
