ENSG ET01 ET201 ET601 ET2H1 ET4H1 ET24H1 ET02 ET202 ET602 ET2H2 ET4H2 ET24H2 BIC_gene LR_gene
ENSG00000122873 6.01991718161446 6.37482491725155 6.3772812723043 7.44947115978104 8.32611088867762 9.48536882135309 6.41227639136465 6.096231398538 6.80742149162609 7.87203498990518 8.94770176531546 9.93005975145446 -26.5974657565043 -28.3892252257324
ENSG00000099204 13.4653542975899 13.7039051884039 13.7156465544865 13.3129214817577 12.8712648804929 11.4515665646865 13.754412266893 13.7191635361781 14.0661610723948 13.7515967749344 13.3451193834218 12.1005421741779 -24.5578459863241 -26.3496054555521
ENSG00000052749 10.2950180162612 11.0125861383609 11.5092164104709 11.9039525745856 12.8834763211048 11.9676551768147 11.2255049088178 11.0947481326291 11.4923087663251 11.6903514004269 12.7272173234799 12.463826965717 -8.86981520852908 -10.6615746777571
ENSG00000213341 9.17641567231947 9.80612665497003 9.71027257692985 9.91037248125242 10.3426195418736 10.9417629160652 10.0097402561 9.9504339367705 9.96060365743889 10.4249088704375 10.7341747552638 11.2149231857287 -14.956020818866 -16.747780288094
ENSG00000107566 7.92841838369559 7.78312476979908 8.31854357738593 9.38364871649495 9.50828262802128 9.70768566078664 7.89607111399244 8.167477669488 8.56264823782446 9.50012545833924 9.65797960149675 10.0686107463568 -21.5243701640962 -23.3161296333243
ENSG00000107758 10.056199910632 9.85447031493282 9.61590227553891 10.2159472773477 10.5648532322385 10.7938604577664 9.99033596050932 10.056315321074 10.1331192714298 10.2810588164084 10.7987642765796 10.855296227056 -11.0339137576888 -12.8256732269168
ENSG00000236308 0 0 1.43883704353941 2.51020288339574 3.07137940806631 3.50081209743247 0 0 2.21132692556153 1.44780865691503 2.18431954288986 2.32114879685834 -9.42776964194225 -11.2195291111703
ENSG00000047056 10.262938053109 10.6934928043146 11.2722958359169 11.6352058208219 11.2057678464673 9.98876060529469 10.8014193905209 10.8275232832782 11.1251244758796 10.9628234506724 10.8322520146123 9.73407519649383 -6.55965000694532 -8.35140947617337
ENSG00000067064 10.9148642506339 11.1411624054462 10.8723436367665 10.4308214232698 9.92135640582259 10.0228939763443 11.3187783466284 11.3167659886959 11.0610691849271 10.8838893495537 10.3876282323324 10.3355331251693 -21.6815948962164 -23.4733543654444
ENSG00000095794 11.2839917552584 11.232022594095 12.8701186778343 13.4596847066709 13.4345161641508 11.7726319356445 10.7764619588908 10.9130862590253 12.7406025482643 13.5222918805396 13.5871719550901 11.9617052069346 -24.5851776511542 -26.3769371203822
ENSG00000108219 13.2197065238987 13.2355710280245 12.8238850658731 12.7294718480144 12.0341610518028 10.6569771981963 12.9766852525008 12.9239808859636 12.7228896495317 12.5603635940408 11.7960598918072 10.4229827952856 -31.3161860286373 -33.1079454978654
ENSG00000107959 10.4038328160322 10.5937820497371 10.7869027191886 11.2077206132483 11.9928154451836 11.8429292541431 10.7606414357452 10.8732283729339 10.9066873396916 11.0406235625206 11.9993657807456 12.1985143347414 -14.3937211299735 -16.1854805992016
ENSG00000237399 5.62494743177817 5.547220124394 7.05255420782116 7.94725566709588 8.48960356932333 7.09418667209582 5.11553560031906 5.11716631337225 4.9820456959285 6.18406709782097 7.7490345229683 6.78824219817993 -7.75270654919821 -9.54446601842626
ENSG00000077150 10.9945582046132 11.4531851947823 12.5519431651569 13.5746738856896 13.77505827322 12.5258757487897 12.0060088855677 11.9665963526174 12.8402991121037 13.2887889328834 13.4821187139762 13.0660904891672 -21.7926965241285 -23.5844559933566
ENSG00000214655 10.0242611629492 10.2314786686156 10.5139379117154 10.2791162482735 10.5058228832576 9.73913580460684 10.5842040564382 10.7052092405687 10.513435001306 10.2639275509297 10.1811080902233 9.8246217351018 -0.454139357247229 -2.24589882647529
ENSG00000172586 6.43419507846431 5.14243041647785 6.11771367351141 6.02663097721731 6.76982717718373 8.77278270679881 5.9768185392896 5.03229910497805 5.97101863715197 6.66135289084313 7.07687623068953 8.45599896603276 -14.1367923141196 -15.9285517833477
ENSG00000275023 13.4143551499106 12.8638475417959 12.5186767268088 12.3544123327383 13.2858263759936 12.3447349123465 12.7157394109464 12.7287835045708 12.3067051714554 12.2490321486819 13.161830319439 12.8987227240583 -0.443004496168577 -2.23476396539663
ENSG00000110011 9.29418323077955 8.00279492336486 8.14628201276885 7.31408376463761 7.22028480363975 6.79227134482151 8.10295021535375 8.2402318872747 7.53654099406528 7.36766561264245 6.19614516031261 7.887773172452 -1.70773536851557 -3.49949483774362
ENSG00000134452 9.83948177938198 9.55137965401539 9.79884705993043 10.401061762843 10.6417657358947 10.7451234642378 9.73451308262998 9.61689781674153 10.2943604107223 10.3807175377044 10.5485822781901 10.9096690483845 -13.3756812459007 -15.1674407151288
ENSG00000166197 9.92396988523755 9.95489229369254 10.2618634718815 12.1598334514599 13.7033397212958 13.4610219139731 9.90885067733878 9.8501761924273 10.3749034765453 12.1283851171721 13.7289202040374 14.0099909847522 -29.8509786467467 -31.6427381159747
ENSG00000107742 14.7158429657224 14.3035984665851 14.0839917028394 13.6699496159633 12.8778094360288 11.3484831013477 14.2980402089133 14.3438403819425 13.9900646487799 13.8654592217428 12.8478444828153 11.919751082782 -25.3203428604345 -27.1121023296626
ENSG00000148840 9.56475100866447 9.38031976731356 10.0981036209182 11.8921156839838 12.8958656647032 11.6191541125736 9.43294986121609 9.57062447977447 10.2065223789337 11.773166424662 12.7308333250615 12.2305472251924 -21.4556240619515 -23.2473835311796
ENSG00000108963 9.13713594611828 9.37618625761657 9.69248269482005 9.76478096111003 10.2821256158246 8.83465359461007 10.3437589358629 10.5052033119654 10.1317858673133 9.90559657300536 10.3196196705801 10.0238893739521 1.77608767987264 -0.0156717893554159
ENSG00000137747 4.5513761071172 2.26705017953415 4.99088243059829 3.75759278074498 5.45790439371347 2.62293958000789 4.43695812673466 4.51163195746173 4.60538814519335 3.50685617829747 4.65000860071009 3.94394753643709 0.702708756053518 -1.08905071317454
ENSG00000122862 13.1727278872448 12.826086569086 13.0353620377347 13.2318901413023 13.4298764458017 12.4849058200371 12.1266936990571 12.2735079923483 12.7880354936971 13.65884975717 13.8546682316505 12.6501225135802 -2.39917094082286 -4.19093041005091
ENSG00000173915 9.68614242463633 8.27558325148899 8.41571414483733 8.65598320857257 9.29693687818379 10.8140852919805 8.53067319098985 8.86099620360631 8.84406143015983 9.4403821766861 9.43081221298303 11.1740767108518 -7.22591235691537 -9.01767182614342
