ATACchr ATACstart ATACend otherEndID otherEndchr otherEndstart otherEndend ID ENSG ENSGchr ENSGstart ENSGend O0 O20 O60 O2H O4H O24H N0 N20 N60 N2H N4H N24H Elld_ratio ET0_a ET20_a ET1H_a ET2H_a ET4H_a ET24H_a baitID baitstart baitend chr T01 T02 T201 T202 T1H1 T1H2 T4H1 T4H2 T24H1 baitchr corr_rep baitTADSlabel otherEndTADSlabel T0 T20 T1H T4H T24H Awidth Astrand Aannotation Agenechr Agenestart Ageneend Agenelength Agenestrand Ageneid Atranscriptid AdistanceToTss AENSG ASYMBOL AT0 AT20 AT1H AT2H AT4H AT24H Alld_ratio0 mean_atacseq mean_gene corr_atacseq_gene corr_atacseq_otherEnd corr_gene_otherEnd
chr10 110031990 110032185 97140 chr10 110029600 110034869 296 ENSG00000122873 chr10 58269058 58289586 6.02473842035719 6.38514878712954 6.38596861848577 7.45680266761504 8.33407241933529 9.46396223522104 6.42082327696844 6.10257716230429 6.81333091152433 7.87749664427122 8.9533244324865 9.88446947745344 10.6985197443475 6.22278084866281 6.24386297471692 6.59964976500505 7.45680266761504 8.33407241933529 9.46396223522104 82109 58266911 58274811 chr10 0 0 0 0 0 0 0 1.94295679317759 1.93054816496373 chr10 NA 140 165 0 0 0 0.971478396588795 1.93054816496373 196 * Intron 10 110016435 110117402 100968 1 120 uc057vxw.1 15556 ENSG00000148700 ADD3 4.34328410015616 4.99498179527768 4.72128238634534 3.96407440613584 5.20046655731648 5.57912088811703 -8.59896707439134e-06 4.80053502222476 7.38685515175936 0.604385249280122 0.867687509157999 0.987064840928103
chr10 110040724 110040924 97141 chr10 110034869 110041557 299 ENSG00000180817 chr10 70202830 70233911 11.654876407567 10.9646093832867 10.5227247178747 10.7291428965015 11.8788712146579 12.9929381813169 10.8994055205247 11.0721186670789 10.554293952329 11.3739211041463 12.4121817350985 13.3480962455199 5.69087160143966 11.2771409640459 11.0183640251828 10.5385093351018 10.7291428965015 11.8788712146579 12.9929381813169 85646 70232141 70233676 chr10 0 0 0 0 0 0 0 0 1.93054816496373 chr10 NA 146 165 0 0 0 0 1.93054816496373 201 * Intron 10 110016435 110117402 100968 1 120 uc057vxw.1 24290 ENSG00000148700 ADD3 4.79717580479719 4.89154250163211 4.10550589633953 4.85777088513219 5.06362256343116 5.22012398925123 -1.18371533739392e-05 4.8226236067639 11.4058277694678 0.757362739442133 0.527370273118978 0.859047908807658
chr10 110040724 110040924 97141 chr10 110034869 110041557 299 ENSG00000122873 chr10 58269058 58289586 6.02473842035719 6.38514878712954 6.38596861848577 7.45680266761504 8.33407241933529 9.46396223522104 6.42082327696844 6.10257716230429 6.81333091152433 7.87749664427122 8.9533244324865 9.88446947745344 10.6985197443475 6.22278084866281 6.24386297471692 6.59964976500505 7.45680266761504 8.33407241933529 9.46396223522104 82109 58266911 58274811 chr10 0 0 0 0 0 0 0 0 1.93054816496373 chr10 NA 140 165 0 0 0 0 1.93054816496373 201 * Intron 10 110016435 110117402 100968 1 120 uc057vxw.1 24290 ENSG00000148700 ADD3 4.79717580479719 4.89154250163211 4.10550589633953 4.85777088513219 5.06362256343116 5.22012398925123 -1.18371533739392e-05 4.8226236067639 7.38685515175936 0.628069653774978 0.527370273118978 0.802285622474259
chr10 110311597 110311763 97230 chr10 110308227 110317618 334 ENSG00000273143 chr10 110428840 110496204 5.00841239018874 4.46767394905406 5.0750262447258 4.94953995722502 6.0233249630486 5.75537289450695 5.41170880578378 4.94835644248754 5.20709692736446 5.19209844819856 6.50281875900723 5.31209499372122 2.25282578961959 5.21006059798626 4.7080151957708 5.14106158604513 4.94953995722502 6.0233249630486 5.75537289450695 97278 110495375 110503186 chr10 4.66914887588941 5.64124717393442 5.315100702356 5.25427100704193 5.3634591591637 5.3583007509985 5.78540463615087 5.62538112901451 5.80307207159392 chr10 -0.160554839875963 165 165 5.15519802491191 5.28468585469897 5.3608799550811 5.70539288258269 5.80307207159392 167 * Intergenic 10 110290730 110304951 14222 2 10285 uc001kzc.5 -6647 ENSG00000119953 SMNDC1 5.3458449796557 4.45682687705648 4.37425468318362 5.63483449693557 5.35507148219508 5.68135056170934 -9.53013540101466e-05 5.1413638467893 5.29789586576379 0.510783223886915 0.566483093076872 0.823447862823971
chr10 110354189 110354710 97251 chr10 110352109 110356065 336 ENSG00000273143 chr10 110428840 110496204 5.00841239018874 4.46767394905406 5.0750262447258 4.94953995722502 6.0233249630486 5.75537289450695 5.41170880578378 4.94835644248754 5.20709692736446 5.19209844819856 6.50281875900723 5.31209499372122 2.25282578961959 5.21006059798626 4.7080151957708 5.14106158604513 4.94953995722502 6.0233249630486 5.75537289450695 97278 110495375 110503186 chr10 6.0776056141046 5.21096143828323 5.88793286061369 4.99877668143324 5.82455767495766 5.3583007509985 6.33340324745685 5.92465812784714 6.19788510545271 chr10 0.794622648686438 165 165 5.64428352619391 5.44335477102346 5.59142921297808 6.129030687652 6.19788510545271 522 * Intergenic 10 110290730 110304951 14222 2 10285 uc001kzc.5 -49239 ENSG00000119953 SMNDC1 7.44860641005192 7.35992369286846 7.37468541501882 7.34774202765329 7.77992121898009 7.46370938653387 -3.18004404675776e-06 7.46243135851774 5.29789586576379 0.855793418854834 0.697789623256887 0.953933600229685
chr10 110356105 110357710 97252 chr10 110356065 110361397 337 ENSG00000273143 chr10 110428840 110496204 5.00841239018874 4.46767394905406 5.0750262447258 4.94953995722502 6.0233249630486 5.75537289450695 5.41170880578378 4.94835644248754 5.20709692736446 5.19209844819856 6.50281875900723 5.31209499372122 2.25282578961959 5.21006059798626 4.7080151957708 5.14106158604513 4.94953995722502 6.0233249630486 5.75537289450695 97278 110495375 110503186 chr10 5.47419969762925 5.48417922092042 5.58879938264227 4.95142218957745 5.52673111760514 5.13486989175112 6.64946156731841 6.09444671391706 6.66574811825688 chr10 0.859623134159901 165 165 5.47918945927483 5.27011078610986 5.33080050467813 6.37195414061773 6.66574811825688 1606 * Intergenic 10 110290730 110304951 14222 2 10285 uc001kzc.5 -51155 ENSG00000119953 SMNDC1 8.68518353927718 8.52496127434294 9.14021209242594 8.55886904881022 8.93213636256215 9.24030924376335 -3.18086997248557e-05 8.84694526019696 5.29789586576379 0.662536677633085 0.600387668031746 0.899389028300306
chr10 110364600 110364871 97254 chr10 110361573 110365716 339 ENSG00000273143 chr10 110428840 110496204 5.00841239018874 4.46767394905406 5.0750262447258 4.94953995722502 6.0233249630486 5.75537289450695 5.41170880578378 4.94835644248754 5.20709692736446 5.19209844819856 6.50281875900723 5.31209499372122 2.25282578961959 5.21006059798626 4.7080151957708 5.14106158604513 4.94953995722502 6.0233249630486 5.75537289450695 97278 110495375 110503186 chr10 4.74416382767703 4.87362222114736 5.09873541792992 4.90246044625898 5.00031766677891 4.74932643233694 5.58935009421902 4.97020506193405 5.99020615894255 chr10 0.607645106372242 165 165 4.8088930244122 5.00059793209445 4.87482204955793 5.27977757807654 5.99020615894255 272 * Intergenic 10 110290730 110304951 14222 2 10285 uc001kzc.5 -59650 ENSG00000119953 SMNDC1 5.71320157740104 5.09149822425755 4.79640347582184 5.86316441301823 6.8026866207154 6.91115697297451 1.34215865775653 5.86301854736476 5.29789586576379 0.8355947343999 0.784989849294031 0.621243742180024
chr10 110426018 110426392 97263 chr10 110416214 110430721 343 ENSG00000273143 chr10 110428840 110496204 5.00841239018874 4.46767394905406 5.0750262447258 4.94953995722502 6.0233249630486 5.75537289450695 5.41170880578378 4.94835644248754 5.20709692736446 5.19209844819856 6.50281875900723 5.31209499372122 2.25282578961959 5.21006059798626 4.7080151957708 5.14106158604513 4.94953995722502 6.0233249630486 5.75537289450695 97278 110495375 110503186 chr10 5.01040570912069 4.34386577197518 4.84409692472002 5.04462609805875 5.31320261974621 4.98205860729751 5.6637614681212 5.51002979730923 6.1125125478762 chr10 0.663128430987469 165 165 4.67713574054793 4.94436151138938 5.14763061352186 5.58689563271521 6.1125125478762 375 * Intergenic 10 110497838 110511544 13707 1 1847 uc001kzd.4 -71446 ENSG00000138166 DUSP5 5.59016851333716 5.46021195551005 5.80700512072057 5.44633131059593 6.87604090969442 7.37496362614752 0.578446425076375 6.09245357266761 5.29789586576379 0.896867945053973 0.959876165744477 0.736394423988544
chr10 110671992 110672748 97325 chr10 110665086 110672776 363 ENSG00000119927 chr10 112149864 112215377 6.71365631327749 6.54204744370196 7.36230183101291 6.47778469937849 7.10875995678748 9.30408687971075 7.8088828692026 7.72870307446316 7.50158992995743 7.38813372523854 7.43081690503586 9.36157514287684 2.27465689718877 7.26126959124004 7.13537525908256 7.43194588048517 6.47778469937849 7.10875995678748 9.30408687971075 97833 112182456 112187118 chr10 1.89367083917463 1.83761739310685 2.36690621955593 0 2.56874701574482 0 0 0 1.93054816496373 chr10 0.105917921810798 NA 165 1.86564411614074 1.18345310977797 1.28437350787241 0 1.93054816496373 757 * Intron 10 110644397 110839469 195073 1 282996 uc001kzf.2 27596 ENSG00000203867 RBM20 7.96424334757732 7.66448947930024 7.85937924077906 7.69992155196033 7.65449066733851 7.93994080992081 0.0403536862069691 7.79707751614604 7.45320371111408 0.613887496825128 0.843558505329856 0.547923084492487
chr10 110864577 110865085 97382 chr10 110862958 110871612 381 ENSG00000099204 chr10 114431113 114685003 13.4702504381514 13.7143537429184 13.7244387041182 13.3202943454726 12.8792501647506 11.4301375594464 13.7630597677571 13.7256027441923 14.072123271078 13.7570814012602 13.3507528982477 12.0549149292034 6.68810223666985 13.6166551029543 13.7199782435553 13.8982809875981 13.3202943454726 12.8792501647506 11.4301375594464 98516 114527369 114541292 chr10 2.68517535822971 0 0 3.50134901059948 2.73067144640423 2.51308298719101 0 0 0 chr10 -0.153202430985331 166 165 1.34258767911485 1.75067450529974 2.62187721679762 0 0 509 * Intergenic 10 110871795 110900005 28211 1 27250 uc001kzg.4 -6710 ENSG00000150593 PDCD4 8.27506362107122 8.31611974244459 8.7109366172506 7.64833644660368 7.9003455759046 7.10755874200104 0.0946122905739033 7.99306012421262 13.1440994006295 0.90454951576374 0.879537163048711 0.824349369023437
