ENSG,IT02,IT202,IT1H2,IT2H2,IT4H2,IT24H2
ENSG00000005249,27,13,147,66,50,3
ENSG00000005302,1156,819,1600,515,699,163
ENSG00000005339,8754,6262,10340,3535,3609,950
ENSG00000005379,434,280,470,263,345,229
ENSG00000005381,2,4,4,0,0,0
ENSG00000005421,0,2,1,0,0,0
ENSG00000005436,356,222,509,346,1068,644
ENSG00000005448,14,26,14,9,2,5
ENSG00000005469,111,71,181,62,72,116
ENSG00000005471,0,9,4,6,1,0
ENSG00000005483,15400,10442,18855,6649,7344,1461
ENSG00000005486,2018,1778,2262,632,396,120
ENSG00000005513,0,2,2,6,9,0
ENSG00000005700,469,362,842,435,660,536
ENSG00000005801,520,354,940,540,1218,728
ENSG00000005810,6432,4419,6986,4280,8535,3016
ENSG00000005812,2457,1646,2222,814,762,272
ENSG00000005844,895,673,1319,647,537,1299
ENSG00000005882,32,27,70,23,31,19
ENSG00000005884,8,13,57,31,43,63
ENSG00000005889,2003,1447,2822,1010,1948,617
ENSG00000005893,381,237,446,187,323,191
ENSG00000005961,39,23,39,8,10,10
ENSG00000005981,0,0,2,0,0,0
ENSG00000006007,205,153,176,70,74,65
ENSG00000006015,7,3,3,7,2,16
ENSG00000006016,7,8,24,10,32,9
ENSG00000006025,222,177,314,77,74,51
ENSG00000006062,3144,2391,3061,1257,3072,2146
ENSG00000006116,7,1,3,0,2,0
ENSG00000006118,1,1,0,1,0,2
ENSG00000006125,2481,1750,4941,3825,3631,1252
ENSG00000006128,0,0,0,1,0,3
ENSG00000006194,146,107,279,231,463,143
ENSG00000006282,11,16,17,3,1,15
ENSG00000006283,9,7,52,14,2,0
ENSG00000006327,1,0,14,9,8,1
ENSG00000006432,999,746,644,163,156,153
ENSG00000006451,4200,3101,7636,2297,4116,676
ENSG00000006453,175,145,172,215,160,139
ENSG00000006459,3949,2705,4873,2428,2323,312
ENSG00000006468,2,2,4,4,12,0
ENSG00000006530,1136,804,1382,603,1619,1261
ENSG00000006534,1,0,2,0,0,0
ENSG00000006555,106,76,115,51,66,40
ENSG00000006576,1975,1412,1718,713,1828,746
ENSG00000006606,0,0,2,0,0,0
ENSG00000006607,624,479,943,335,810,407
ENSG00000006625,56,41,84,55,158,673
ENSG00000006634,1832,1238,1025,254,451,303
ENSG00000006638,5,2,6,3,1,0
ENSG00000006652,3670,2456,4139,1905,1719,471
ENSG00000006659,0,1,0,0,3,1
ENSG00000006695,1028,689,1754,902,2136,931
ENSG00000006704,193,212,1197,816,820,157
ENSG00000006712,299,227,354,176,167,60
ENSG00000006715,1008,710,1250,720,954,855
ENSG00000006740,10,1,11,0,5,2
ENSG00000006744,788,582,714,331,650,480
ENSG00000006747,6,2,3,1,11,5
ENSG00000006756,8,8,7,4,2,5
ENSG00000006757,17,15,49,19,25,27
ENSG00000006788,0,1,0,0,0,0
ENSG00000006831,1690,1140,3476,1548,2375,806
ENSG00000006837,367,270,472,184,323,188
ENSG00000007001,23,19,47,42,80,31
ENSG00000007038,6,8,10,8,19,48
ENSG00000007047,314,232,298,155,257,238
ENSG00000007062,46,28,78,10,12,8
ENSG00000007080,70,57,97,125,180,233
ENSG00000007129,1116,795,1634,816,724,576
ENSG00000007168,5523,4149,9725,3419,3146,1184
ENSG00000007171,0,0,0,0,1,1
ENSG00000007174,0,4,6,5,1,2
ENSG00000007202,988,666,1065,487,878,678
ENSG00000007216,1,0,0,4,0,0
ENSG00000007237,132,105,632,224,222,19
ENSG00000007255,149,110,243,135,190,76
ENSG00000007264,16,14,20,43,374,206
ENSG00000007306,1,0,0,0,1,0
ENSG00000007312,2,3,0,1,1,6
ENSG00000007314,4,2,6,2,1,0
ENSG00000007341,551,356,1168,633,722,268
ENSG00000007350,6,9,3,3,4,0
ENSG00000007376,9,3,16,14,7,28
ENSG00000007384,6,2,6,4,9,16
ENSG00000007392,2266,1734,3193,1277,1857,457
ENSG00000007402,158,149,405,119,61,21
ENSG00000007516,32,26,49,15,10,3
ENSG00000007520,25,23,42,22,26,55
ENSG00000007541,83,75,208,102,129,165
ENSG00000007545,302,213,397,236,334,249
ENSG00000007866,3,0,6,12,4,7
ENSG00000007908,1,1,0,0,0,0
ENSG00000007923,645,468,1030,468,1425,989
ENSG00000007933,0,1,0,0,0,0
ENSG00000007944,3674,2470,2711,973,849,180
ENSG00000007952,2,5,5,4,0,1
ENSG00000007968,16,8,9,3,1,61
ENSG00000008018,1292,990,1361,572,837,576
ENSG00000008056,3,2,5,3,0,4
ENSG00000008083,7271,4855,20496,19420,59187,5315
ENSG00000008086,353,301,1066,592,498,59
ENSG00000008118,0,0,0,0,1,0
ENSG00000008128,1905,1524,2202,691,785,528
ENSG00000008130,164,107,261,287,828,402
ENSG00000008226,137,105,354,167,115,6
ENSG00000008256,343,273,1175,569,836,94
ENSG00000008277,81,46,132,47,52,133
ENSG00000008282,419,280,500,208,214,101
ENSG00000008283,29,30,62,22,33,19
ENSG00000008294,3967,2950,10441,10410,10960,764
ENSG00000008300,89,56,50,24,115,111
ENSG00000008311,47,18,38,21,16,26
ENSG00000008323,1,1,3,0,0,0
ENSG00000008324,148,130,313,161,120,122
ENSG00000008382,32,29,33,22,20,69
ENSG00000008394,2,2,2,2,1,2
ENSG00000008405,7802,5769,10624,4554,5553,434
ENSG00000008441,25,24,74,61,597,233
ENSG00000008513,4300,3175,7191,2128,1737,1030
ENSG00000008516,7,5,4,3,6,2
ENSG00000008517,178,107,214,139,247,341
ENSG00000008710,210,170,197,51,178,243
ENSG00000008735,3,1,0,1,1,0
ENSG00000008838,536,429,694,333,479,426
ENSG00000008853,19,20,27,5,4,17
ENSG00000008869,890,613,1386,707,720,330
ENSG00000008952,2043,1438,1810,754,854,305
ENSG00000008988,252,221,331,199,297,344
ENSG00000009307,8588,6033,5285,2166,3401,1247
ENSG00000009335,1714,1296,3469,2445,5373,2567
ENSG00000009413,3143,2220,6789,2019,2848,1044
ENSG00000009694,259,223,194,90,108,2
ENSG00000009709,2,2,0,0,0,0
ENSG00000009724,3,4,7,1,3,0
ENSG00000009780,610,488,694,204,152,120
ENSG00000009790,340,268,1715,920,447,848
ENSG00000009830,69,46,73,38,100,126
ENSG00000009844,1883,1370,2236,892,1323,521
ENSG00000009950,2,1,4,0,1,0
ENSG00000009954,1990,1398,2204,1158,1901,1242
ENSG00000010017,5635,3707,7392,3875,5264,996
ENSG00000010030,19,25,63,25,264,47
ENSG00000010072,448,317,320,127,146,73
ENSG00000010165,51,55,262,200,338,307
ENSG00000010219,40,33,142,74,90,139
ENSG00000010244,2495,1900,3342,1973,2755,1862
ENSG00000010256,303,223,358,203,261,210
ENSG00000010270,725,516,704,311,330,238
ENSG00000010278,11,4,31,19,13,23
ENSG00000010292,181,120,190,98,125,237
ENSG00000010295,59,38,109,64,53,127
ENSG00000010310,8,10,14,17,22,12
ENSG00000010318,119,91,84,60,60,48
ENSG00000010319,13,4,17,1,0,0
ENSG00000010322,1418,1079,1184,488,630,411
ENSG00000010327,11,1,10,3,3,0
ENSG00000010361,134,125,196,54,18,23
ENSG00000010379,8,0,20,4,5,3
ENSG00000010404,9244,7571,11286,5139,4207,937
ENSG00000010438,6,2,2,1,2,0
ENSG00000010539,84,47,247,90,129,74
ENSG00000010610,766,584,1067,296,279,734
ENSG00000010626,282,183,381,75,24,10
ENSG00000010671,6,3,11,2,6,4
ENSG00000010704,1,2,0,0,0,0
ENSG00000010803,2474,1784,2204,1044,2542,1333
ENSG00000010810,57741,41873,127762,72133,118348,15507
ENSG00000010818,12083,8326,51063,34791,52246,4947
ENSG00000010932,0,0,0,0,0,1
ENSG00000011007,186,138,340,196,343,183
ENSG00000011009,75,63,125,55,69,67
ENSG00000011021,335,234,500,169,241,305
ENSG00000011028,14,9,59,42,134,172
ENSG00000011083,2,0,0,0,0,1
ENSG00000011105,46,24,86,46,39,62
ENSG00000011114,1194,925,2262,895,1413,613
ENSG00000011132,217,170,420,275,286,92
ENSG00000011143,59,33,84,34,34,88
ENSG00000011198,797,578,784,308,380,295
ENSG00000011201,0,1,0,0,3,0
ENSG00000011243,1366,1003,2132,820,870,436
ENSG00000011258,1985,1411,2587,1141,2513,641
ENSG00000011260,2145,1566,1510,774,1746,560
ENSG00000011275,7263,5326,10045,4943,5765,1755
ENSG00000011295,3460,2551,4203,1385,2412,679
ENSG00000011304,1092,722,1026,571,910,576
ENSG00000011332,3,3,3,1,2,4
ENSG00000011347,4,2,6,3,18,5
ENSG00000011376,1450,1104,1808,751,1402,887
ENSG00000011405,3200,2233,2674,821,1226,528
ENSG00000011422,35,34,165,45,40,21
ENSG00000011426,22,15,14,1,2,32
ENSG00000011451,147,112,338,373,636,336
ENSG00000011454,2273,1645,3634,1845,2779,890
ENSG00000011478,123,143,486,212,198,176
ENSG00000011485,197,134,356,239,750,627
ENSG00000011523,989,674,1001,393,262,41
ENSG00000011566,1068,672,1362,785,1571,755
ENSG00000011590,27,15,60,59,177,303
ENSG00000011600,0,1,3,2,0,0
ENSG00000011638,54,33,91,37,37,62
ENSG00000011677,1,0,1,2,2,0
ENSG00000012048,9,3,47,9,4,426
ENSG00000012061,982,807,1850,513,270,215
ENSG00000012124,5,2,7,5,4,5
ENSG00000012171,35,28,21,9,5,0
ENSG00000012174,192,117,147,59,110,77
ENSG00000012211,9,9,16,14,25,41
ENSG00000012223,0,1,4,0,3,2
ENSG00000012232,77,55,241,68,66,127
ENSG00000012504,0,0,3,0,1,0
ENSG00000012660,13094,9760,17849,3812,6121,2009
ENSG00000012779,33,31,69,41,75,7
ENSG00000012817,1190,865,951,483,416,167
ENSG00000012822,126,95,131,75,63,9
ENSG00000012963,149,123,221,108,116,241
ENSG00000012983,1797,1296,1658,877,2327,719
ENSG00000013016,6,7,18,7,11,30
ENSG00000013275,487,370,439,187,292,229
ENSG00000013288,544,450,583,196,177,210
ENSG00000013293,2,2,1,0,1,1
ENSG00000013297,2,2,21,11,7,1
ENSG00000013306,23,33,53,31,88,109
ENSG00000013364,686,454,818,351,318,419
ENSG00000013374,1452,959,975,302,392,154
ENSG00000013375,501,376,584,195,172,150
ENSG00000013392,13,11,13,8,6,9
ENSG00000013441,7054,4758,3578,1179,1041,284
ENSG00000013503,372,296,788,346,434,846
ENSG00000013523,131,97,199,119,335,170
ENSG00000013561,213,184,433,208,220,180
ENSG00000013563,61,62,73,24,20,52
ENSG00000013573,274,188,324,154,225,409
ENSG00000013583,47,63,52,16,34,79
ENSG00000013588,6,5,6,4,3,1
ENSG00000013619,107,62,739,1373,7208,354
ENSG00000013725,15768,12048,21670,10285,10862,3775
ENSG00000013810,935,767,898,227,180,266
ENSG00000014123,1094,781,1042,332,318,188
ENSG00000014138,330,273,666,299,374,749
ENSG00000014164,1012,715,1505,921,1307,513
ENSG00000014216,161,115,174,120,121,137
ENSG00000014257,1,0,0,0,1,2
ENSG00000014641,1090,774,967,284,326,300
ENSG00000014824,1302,942,2577,1075,1347,681
ENSG00000014914,0,1,0,0,3,5
ENSG00000014919,42,53,199,84,101,158
ENSG00000015133,11789,8726,13550,4786,4854,1704
ENSG00000015153,3454,2606,4098,1065,1984,436
ENSG00000015171,970,639,2414,1480,2534,986
ENSG00000015285,102,108,187,80,65,282
ENSG00000015413,1,1,4,1,0,4
ENSG00000015475,504,332,719,345,637,154
ENSG00000015520,25,18,29,1,7,2
ENSG00000015532,168,120,150,77,144,229
ENSG00000015568,10,5,10,4,3,1
ENSG00000015592,2,1,5,1,3,3
ENSG00000015676,2458,1788,2595,1333,2381,1196
ENSG00000016391,2,1,8,4,4,2
ENSG00000016864,86,38,200,93,71,120
ENSG00000017260,2795,1839,3690,1674,2230,1213
ENSG00000017427,2,0,2,2,2,4
ENSG00000017483,21,8,20,9,176,455
ENSG00000017797,187,160,743,292,295,260
ENSG00000018189,352,248,375,233,279,219
ENSG00000018236,2,1,3,2,2,0
ENSG00000018280,5,2,18,2,2,0
ENSG00000018408,139,100,136,42,50,57
ENSG00000018510,1785,1309,2171,801,1471,1011
ENSG00000018610,504,386,312,101,178,82
ENSG00000018625,0,0,1,0,0,0
ENSG00000018699,670,478,1500,1128,3133,1182
ENSG00000018869,55,52,91,44,47,38
ENSG00000019102,0,1,3,0,1,2
ENSG00000019144,44,40,333,946,1638,25
ENSG00000019186,7,0,3,0,0,0
ENSG00000019485,342,245,726,288,371,215
ENSG00000019582,1418,970,1080,167,252,197
ENSG00000019991,0,0,3,0,3,0
ENSG00000019995,1874,1228,2298,852,934,312
ENSG00000020129,62,77,153,72,125,117
ENSG00000020181,3,0,14,0,5,4
ENSG00000020256,71,63,142,76,112,287
ENSG00000020426,1909,1193,3001,1327,2504,1090
ENSG00000020577,1542,1083,9698,9571,18964,1238
ENSG00000020633,4752,3469,8272,4641,6549,4411
ENSG00000020922,823,557,1186,413,601,640
ENSG00000021300,78,39,95,27,19,10
ENSG00000021355,425,356,544,209,209,87
ENSG00000021461,3,8,6,0,0,0
ENSG00000021488,3,2,4,6,7,6
ENSG00000021574,362,292,984,493,486,259
ENSG00000021645,7,4,12,2,4,0
ENSG00000021762,133,75,135,23,48,75
ENSG00000021776,3140,2324,4418,1373,2228,943
ENSG00000021826,3,5,5,2,2,25
ENSG00000022267,368,270,178,60,81,48
ENSG00000022277,1952,1407,2329,1017,1302,713
ENSG00000022556,43,23,74,28,29,40
ENSG00000022567,2356,1711,4384,1379,1450,632
ENSG00000022840,3623,2656,2922,1106,1371,482
ENSG00000022976,484,338,489,222,310,308
ENSG00000023041,864,617,917,410,582,387
ENSG00000023171,599,434,1354,911,2342,737
ENSG00000023191,169,126,183,119,202,78
ENSG00000023228,405,304,958,440,503,361
ENSG00000023287,13119,9350,9024,1502,1578,301
ENSG00000023318,2188,1451,3275,1137,1630,691
ENSG00000023330,93,61,199,85,107,167
ENSG00000023445,1262,1031,4669,1960,2664,381
ENSG00000023516,623,428,1468,803,1461,640
ENSG00000023572,5,7,37,18,11,40
ENSG00000023608,1332,936,1759,747,670,311
ENSG00000023697,178,138,365,199,238,191
ENSG00000023734,1790,1201,1375,801,1015,349
ENSG00000023839,76,73,81,36,43,39
ENSG00000023892,2785,1953,2952,1323,1003,549
ENSG00000023902,519,418,681,250,202,66
ENSG00000023909,144,109,244,205,535,193
ENSG00000024048,2034,1472,2890,1373,1280,842
ENSG00000024422,0,0,2,0,1,1
ENSG00000024526,0,0,4,1,0,0
ENSG00000024862,817,601,493,149,108,54
ENSG00000025039,127,106,118,37,109,100
ENSG00000025156,1093,725,698,246,330,251
ENSG00000025293,7126,5111,7815,2172,2504,1075
ENSG00000025423,2,5,10,6,3,20
ENSG00000025434,14,11,44,25,28,57
ENSG00000025708,26,11,42,13,110,220
ENSG00000025770,938,659,827,390,399,335
ENSG00000025772,263,209,370,331,889,361
ENSG00000025796,2528,1749,2318,1166,2784,1078
ENSG00000025800,2563,1876,2649,1170,2213,919
ENSG00000026025,1439,1053,3789,2099,2118,83
ENSG00000026036,45,34,52,18,18,118
ENSG00000026103,427,316,985,271,516,168
ENSG00000026297,2677,1976,2496,1036,618,736
ENSG00000026508,50219,36786,82804,41756,70332,4033
ENSG00000026559,0,0,0,0,0,37
ENSG00000026652,1702,1344,10719,4779,2689,271
ENSG00000026751,91,48,113,52,124,151
ENSG00000026950,445,311,657,367,324,91
ENSG00000027001,533,388,510,261,461,374
ENSG00000027075,47146,34187,58501,32969,44328,5380
ENSG00000027644,1,0,1,0,3,2
ENSG00000027697,1662,1162,643,213,213,72
ENSG00000027847,384,269,424,220,307,258
ENSG00000027869,1031,883,3326,2088,2606,1086
ENSG00000028116,853,593,1377,545,941,594
ENSG00000028137,2099,1677,7515,4556,5973,1671
ENSG00000028203,2703,1914,4289,1717,1888,819
ENSG00000028277,884,776,1739,1461,3383,990
ENSG00000028310,1815,1225,2504,1086,1646,767
ENSG00000028528,2287,1685,2723,970,1447,517
ENSG00000028839,755,548,936,312,487,301
ENSG00000029153,3,4,25,7,57,211
ENSG00000029363,7387,5009,3745,1356,2188,805
ENSG00000029364,614,467,1148,546,770,344
ENSG00000029534,139,86,214,159,261,306
ENSG00000029639,223,176,705,421,805,667
ENSG00000029725,2153,1515,3905,2186,3705,1123
ENSG00000029993,17,15,8,5,1,9
ENSG00000030066,1503,1063,2137,1019,1506,1012
ENSG00000030110,192,146,159,71,65,128
ENSG00000030304,0,0,1,0,0,0
ENSG00000030419,1551,1065,2515,1831,3706,410
ENSG00000030582,6,1,7,3,6,15
ENSG00000031003,2877,1983,4052,1475,1189,548
ENSG00000031081,334,317,2507,1501,3550,796
ENSG00000031691,44,33,124,45,37,167
ENSG00000031698,1007,781,1337,1070,2109,478
ENSG00000031823,5529,4163,6137,1905,2613,1131
ENSG00000032219,4181,2925,2690,658,444,209
ENSG00000032389,614,444,1491,1026,1580,1414
ENSG00000032444,291,298,507,223,247,425
ENSG00000032742,298,200,507,327,373,112
ENSG00000033011,100,59,160,67,194,184
ENSG00000033030,838,598,926,359,525,222
ENSG00000033050,145,111,428,436,1125,468
ENSG00000033100,172,103,194,98,166,181
ENSG00000033122,322,172,424,185,188,24
ENSG00000033170,998,666,1768,1469,3940,1662
ENSG00000033178,3594,2576,3287,1212,1417,608
ENSG00000033327,2743,1896,3563,1258,1179,114
ENSG00000033627,257,178,259,60,94,167
ENSG00000033800,7326,5231,9081,2440,2942,796
ENSG00000033867,3932,2726,3932,1622,3015,1021
ENSG00000034053,6163,4420,4924,2067,1567,498
ENSG00000034152,619,398,4448,5435,7434,1461
ENSG00000034510,286,279,335,203,220,185
ENSG00000034533,280,222,383,165,111,71
ENSG00000034677,6700,4983,18235,12785,23601,3554
ENSG00000034693,601,417,1186,471,552,293
ENSG00000034713,495,324,391,144,149,77
ENSG00000034971,0,0,2,1,0,0
ENSG00000035115,648,412,778,416,743,345
ENSG00000035141,57,52,81,31,56,61
ENSG00000035403,539,384,850,248,291,205
ENSG00000035499,22,12,59,19,17,79
ENSG00000035664,92,74,254,93,99,12
ENSG00000035681,1839,1254,2093,998,2675,607
ENSG00000035687,2993,1938,3867,1717,2640,880
ENSG00000035720,244,159,341,127,145,31
ENSG00000035862,418,368,535,100,74,5
ENSG00000035928,2936,2043,2596,1058,1377,806
ENSG00000036054,3496,2379,2693,661,760,295
ENSG00000036257,12880,8841,11845,3449,4995,1351
ENSG00000036448,97,70,145,49,44,7
ENSG00000036473,1,0,0,0,0,0
ENSG00000036530,7,2,14,1,1,4
ENSG00000036549,2795,1911,4596,2457,6076,1717
ENSG00000036565,0,0,0,0,1,1
ENSG00000036672,55,34,36,5,2,6
ENSG00000036828,3,0,3,3,22,17
ENSG00000037042,23,8,21,8,8,51
ENSG00000037241,91,49,80,55,73,78
ENSG00000037280,27,25,41,32,17,12
ENSG00000037474,1507,1073,1919,1276,2379,995
ENSG00000037637,1652,1089,2554,1060,1393,493
ENSG00000037749,421,340,988,531,576,405
ENSG00000037757,32,35,128,70,56,155
ENSG00000037897,23,16,36,81,218,190
ENSG00000038002,76,56,124,55,59,39
ENSG00000038210,1148,767,1016,531,908,646
ENSG00000038219,1297,881,1495,612,814,302
ENSG00000038274,296,201,398,193,167,72
ENSG00000038295,2,5,0,3,1,7
ENSG00000038358,340,236,364,161,173,116
ENSG00000038382,392,275,509,208,512,240
ENSG00000038427,8,13,14,1,0,1
ENSG00000038532,3516,2438,4460,2221,3610,1623
ENSG00000038945,3,2,11,0,9,5
ENSG00000039068,16,20,60,43,73,20
ENSG00000039123,3765,2595,4159,1551,3331,1180
ENSG00000039139,0,3,3,0,0,0
ENSG00000039319,303,243,747,306,299,130
ENSG00000039523,356,309,494,409,478,284
ENSG00000039537,0,0,2,0,4,0
ENSG00000039560,3,5,10,8,23,61
ENSG00000039600,1,1,8,17,14,4
ENSG00000039650,185,111,212,103,132,165
ENSG00000040199,484,374,696,319,498,263
ENSG00000040275,55,48,199,102,139,144
ENSG00000040341,467,340,727,598,766,465
ENSG00000040487,4,9,8,4,12,24
ENSG00000040531,46,23,155,111,120,146
ENSG00000040608,4,0,7,2,1,2
ENSG00000040633,29,28,48,24,14,32
ENSG00000040731,0,0,1,1,0,0
ENSG00000040933,6004,4155,10462,3837,3321,1592
ENSG00000041353,144,80,175,61,47,12
ENSG00000041357,131,92,190,99,171,186
ENSG00000041515,125,99,108,26,47,6
ENSG00000041802,784,561,971,421,890,416
ENSG00000041880,5,4,12,8,6,15
ENSG00000041982,0,0,2,3,4,2
ENSG00000041988,70,49,61,51,49,52
ENSG00000042062,9,14,19,4,13,14
ENSG00000042088,2826,2021,2780,1521,2498,1299
ENSG00000042286,47,35,80,38,50,161
ENSG00000042304,0,0,0,1,0,0
ENSG00000042317,24,12,66,23,21,46
ENSG00000042429,1036,699,953,488,592,300
ENSG00000042445,132,95,275,82,62,101
ENSG00000042493,4,6,46,32,24,8
ENSG00000042753,76,58,174,71,68,59
ENSG00000042781,3,1,5,1,2,4
ENSG00000042813,9,5,2,3,3,13
ENSG00000042832,131,81,681,657,1017,126
ENSG00000042980,47,19,37,7,16,0
ENSG00000043039,2,0,2,1,0,4
ENSG00000043093,532,361,650,254,367,222
ENSG00000043143,2046,1622,3578,1106,964,526
ENSG00000043462,3986,2970,9460,7278,19849,2091
ENSG00000043514,404,258,879,611,1725,703
ENSG00000044090,54,41,147,95,91,145
ENSG00000044115,73,53,157,226,873,430
ENSG00000044446,899,628,854,301,383,270
ENSG00000044459,4,6,10,5,6,42
ENSG00000044524,2,1,3,1,8,0
ENSG00000044574,431,256,398,176,199,265
ENSG00000046604,2,0,2,1,0,1
ENSG00000046647,180,134,474,319,636,178
ENSG00000046651,1713,1235,3027,1251,1316,275
ENSG00000046653,6,3,7,2,9,6
ENSG00000046889,0,1,2,0,0,0
ENSG00000047056,1699,1236,3275,1409,1695,604
ENSG00000047188,2784,1844,3438,1338,1672,657
ENSG00000047230,123,84,170,56,47,99
ENSG00000047249,3744,2635,4402,1122,1218,455
ENSG00000047315,1498,979,1682,732,1102,661
ENSG00000047346,7333,4968,10274,2009,1169,174
ENSG00000047365,5278,3563,8982,3823,8572,894
ENSG00000047410,2270,1531,2095,906,1354,704
ENSG00000047578,659,511,1485,721,951,629
ENSG00000047579,627,390,944,494,1068,469
ENSG00000047597,0,0,5,2,2,1
ENSG00000047617,2,0,6,2,2,0
ENSG00000047621,473,335,560,242,622,366
ENSG00000047634,1275,950,2039,872,696,64
ENSG00000047644,350,231,693,424,548,228
ENSG00000047648,11,6,8,2,10,10
ENSG00000047662,15,12,13,4,11,11
ENSG00000047849,1337,954,1772,1246,2159,1791
ENSG00000047932,784,482,1428,704,1346,573
ENSG00000047936,0,1,0,0,0,0
ENSG00000048028,121,68,199,83,78,86
ENSG00000048052,132,75,130,78,251,35
ENSG00000048140,15,12,26,18,25,22
ENSG00000048162,61,52,129,218,576,236
ENSG00000048342,0,2,3,1,1,0
ENSG00000048392,207,154,528,257,257,86
ENSG00000048405,2448,1566,2778,1629,2380,1209
ENSG00000048462,2,0,2,1,0,0
ENSG00000048471,2856,2143,2904,1155,2217,963
ENSG00000048544,161,142,163,105,167,131
ENSG00000048545,12,16,5,4,0,1
ENSG00000048649,5944,4358,5633,2314,3021,1013
ENSG00000048707,5199,3777,5840,2458,4196,1231
ENSG00000048740,41750,30047,52211,18928,19527,5791
ENSG00000048828,2117,1504,2622,1966,3479,1846
ENSG00000048991,484,361,1350,868,2219,1592
ENSG00000049089,28,20,48,5,1,12
ENSG00000049130,0,0,0,0,0,2
ENSG00000049167,358,290,794,358,747,521
ENSG00000049192,182,129,455,234,221,115
ENSG00000049239,371,282,595,277,428,154
ENSG00000049245,341,265,401,190,185,180
ENSG00000049246,323,252,511,135,523,96
ENSG00000049247,3,1,5,1,10,6
ENSG00000049249,47,28,146,195,2091,439
ENSG00000049323,10,7,32,16,39,4
ENSG00000049449,154,105,110,70,305,123
ENSG00000049540,3,1,5,2,2,1
ENSG00000049541,220,177,314,153,134,313
ENSG00000049618,13534,9284,13788,5301,10479,3116
ENSG00000049656,570,413,838,441,966,573
ENSG00000049759,273,201,485,328,867,170
