ENSG,ET01,ET201,ET1H1,ET2H1,ET4H1,ET24H1
ENSG00000017483,196,34,52,47,207,3668
ENSG00000017797,477,106,116,224,238,989
ENSG00000018189,559,157,148,107,126,354
ENSG00000018280,630,212,320,413,260,13
ENSG00000018408,11,3,0,6,2,14
ENSG00000018510,731,311,221,316,452,3112
ENSG00000018610,432,136,180,193,178,525
ENSG00000018625,3,1,2,0,0,0
ENSG00000018699,242,87,51,193,505,1802
ENSG00000018869,42,5,25,13,22,54
ENSG00000019102,17,9,6,2,2,5
ENSG00000019144,9,20,53,704,1310,82
ENSG00000019169,32,16,11,12,35,0
ENSG00000019186,5,6,0,0,0,4
ENSG00000019485,41,25,44,78,60,142
ENSG00000019582,22337,4551,3964,3413,3207,6766
ENSG00000019991,15,0,0,8,2,2
ENSG00000019995,1259,492,638,695,579,754
ENSG00000020129,184,118,121,201,409,990
ENSG00000020181,14,1,2,3,3,4
ENSG00000020256,84,33,31,25,30,297
ENSG00000020426,180,64,49,81,120,366
ENSG00000020577,75,52,121,724,1486,265
ENSG00000020633,7994,2358,3025,3625,4019,4908
ENSG00000020922,468,245,208,177,187,1440
ENSG00000021300,403,105,80,67,85,135
ENSG00000021355,2045,455,396,394,355,738
ENSG00000021461,0,0,0,0,0,0
ENSG00000021488,0,0,0,0,0,0
ENSG00000021574,412,87,91,147,200,798
ENSG00000021762,116,65,70,45,25,28
ENSG00000021776,1432,761,975,1112,1370,3503
ENSG00000021826,10,0,2,1,3,11
ENSG00000022267,1045,195,211,192,143,268
ENSG00000022277,1035,344,408,529,569,1666
ENSG00000022355,0,0,0,1,0,0
ENSG00000022556,199,86,100,86,112,644
ENSG00000022567,225,96,146,301,287,436
ENSG00000022840,8476,3331,4333,3445,3378,5347
ENSG00000022976,313,120,132,115,121,213
ENSG00000023041,599,261,197,312,377,1203
ENSG00000023171,269,127,162,166,310,706
ENSG00000023191,1385,497,629,906,1299,3188
ENSG00000023228,974,267,298,501,718,3205
ENSG00000023287,2593,1710,2040,1525,974,986
ENSG00000023318,1205,310,255,404,427,1414
ENSG00000023330,246,107,138,246,288,1673
ENSG00000023445,4812,1721,4117,6142,7145,6273
ENSG00000023516,1539,490,433,739,1373,3148
ENSG00000023572,42,8,5,14,20,264
ENSG00000023608,80,68,111,140,129,279
ENSG00000023697,146,30,31,28,20,284
ENSG00000023734,2630,1007,1094,1257,1595,5060
ENSG00000023839,65,31,23,21,23,98
ENSG00000023892,1497,686,840,802,561,1193
ENSG00000023902,1525,505,715,815,558,540
ENSG00000023909,104,56,51,108,288,864
ENSG00000024048,2072,872,776,844,883,2583
ENSG00000024422,7,1,2,3,7,4
ENSG00000024526,0,0,0,5,3,19
ENSG00000024862,310,112,132,163,61,123
ENSG00000025039,228,62,59,68,80,343
ENSG00000025156,831,412,413,336,200,671
ENSG00000025293,3740,1307,1372,1293,675,1381
ENSG00000025423,3,0,0,2,0,25
ENSG00000025434,12,0,7,12,11,136
ENSG00000025708,287,74,71,90,212,907
ENSG00000025770,846,424,670,809,892,2131
ENSG00000025772,211,64,107,271,507,1130
ENSG00000025796,2933,913,969,749,1052,2905
ENSG00000025800,2750,956,967,1081,1362,3719
ENSG00000026025,27996,7307,10705,21646,29565,2853
ENSG00000026036,20,15,10,6,10,75
ENSG00000026103,916,329,387,569,687,1487
ENSG00000026297,2537,1036,919,572,452,632
ENSG00000026508,52075,13573,20923,41946,59787,22626
ENSG00000026559,0,0,0,0,0,5
ENSG00000026652,174,74,112,627,374,133
ENSG00000026751,118,24,60,196,384,1247
ENSG00000026950,1007,449,572,556,381,457
ENSG00000027001,89,22,27,24,70,220
ENSG00000027075,9683,3944,3685,5468,7175,4838
ENSG00000027644,0,1,1,1,4,1
ENSG00000027697,1280,474,615,503,329,539
ENSG00000027847,237,92,109,157,212,286
ENSG00000027869,465,215,682,1913,2771,3075
ENSG00000028116,493,103,95,138,138,612
ENSG00000028137,3358,862,1225,3112,3819,3082
ENSG00000028203,1546,827,1014,1690,1484,2375
ENSG00000028277,917,269,297,1203,2998,2949
ENSG00000028310,942,574,978,1241,1674,1768
ENSG00000028528,1098,492,743,1205,1547,2022
ENSG00000028839,587,170,141,220,150,469
ENSG00000029153,23,3,2,8,27,373
ENSG00000029363,10313,4433,5077,2657,2452,7179
ENSG00000029364,796,250,227,371,510,1901
ENSG00000029534,543,199,212,240,341,826
ENSG00000029639,80,32,44,91,147,557
ENSG00000029725,1341,464,516,1090,1441,3032
ENSG00000029993,100,15,33,17,29,253
ENSG00000030066,820,532,608,1147,1663,5573
ENSG00000030110,517,208,186,167,133,832
ENSG00000030419,351,151,192,506,904,478
ENSG00000030582,1161,351,209,280,354,890
ENSG00000031003,1792,648,720,862,878,980
ENSG00000031081,143,57,45,246,643,1066
ENSG00000031691,14,2,1,16,17,321
ENSG00000031698,1473,684,955,1216,2673,3233
ENSG00000031823,2092,948,1385,1466,1308,2706
ENSG00000032219,2876,1548,1631,986,508,662
ENSG00000032389,185,69,85,108,134,922
ENSG00000032444,726,289,357,355,419,2093
ENSG00000032742,220,74,56,50,81,165
ENSG00000033011,131,35,55,96,257,1080
ENSG00000033030,1181,602,568,483,676,900
ENSG00000033050,364,121,219,642,2090,4543
ENSG00000033100,800,301,276,438,458,960
ENSG00000033122,106,27,30,19,18,8
ENSG00000033170,728,245,177,168,478,1067
ENSG00000033178,1028,647,643,758,1005,2945
ENSG00000033327,1133,397,419,508,460,94
ENSG00000033627,384,140,166,120,121,821
ENSG00000033800,3523,962,1004,1337,917,1067
ENSG00000033867,1163,699,698,981,1430,2155
ENSG00000034053,1896,724,686,564,332,242
ENSG00000034152,1072,328,759,2947,4118,4736
ENSG00000034510,23370,5252,4342,3230,2468,8607
ENSG00000034533,455,149,232,271,140,350
ENSG00000034677,5656,2098,3554,8843,9301,8194
ENSG00000034693,183,76,118,195,216,489
ENSG00000034713,595,171,138,196,265,542
ENSG00000035115,1310,416,365,371,454,497
ENSG00000035141,424,103,154,141,216,1852
ENSG00000035403,949,279,248,287,319,698
ENSG00000035499,16,7,1,7,4,144
ENSG00000035664,37,18,14,14,10,8
ENSG00000035681,939,330,482,799,1287,2097
ENSG00000035687,1055,451,470,726,1147,2263
ENSG00000035720,112,28,59,67,55,47
ENSG00000035862,323,100,94,77,78,12
ENSG00000035928,2527,1238,1338,1215,1083,3286
ENSG00000036054,678,316,532,499,363,620
ENSG00000036257,2856,1273,1832,2207,1599,4030
ENSG00000036448,50,14,11,27,32,46
ENSG00000036530,3,0,4,1,0,0
ENSG00000036549,1326,485,496,656,1165,2458
ENSG00000036565,0,0,0,0,1,0
ENSG00000036672,19,16,23,8,3,26
ENSG00000036828,0,0,0,0,1,1
ENSG00000037042,43,25,31,27,10,118
ENSG00000037241,162,39,71,42,121,666
ENSG00000037280,47,15,17,14,16,8
ENSG00000037474,762,430,661,1431,2606,5704
ENSG00000037637,798,357,370,412,337,596
ENSG00000037749,216,68,180,213,219,437
ENSG00000037757,281,90,69,40,74,508
ENSG00000037897,62,38,38,153,417,938
ENSG00000038002,415,74,61,65,95,542
ENSG00000038210,77,27,33,54,61,211
ENSG00000038219,2541,1215,1362,1463,1511,2829
ENSG00000038274,986,251,338,475,595,1857
ENSG00000038295,0,0,0,0,0,0
ENSG00000038358,842,490,826,1081,1330,2365
ENSG00000038382,395,180,147,203,313,536
ENSG00000038427,3918,868,609,304,140,16
ENSG00000038532,1126,486,509,529,766,1547
ENSG00000038945,75,10,27,83,119,41
ENSG00000039068,20,5,14,23,76,40
ENSG00000039123,1902,817,880,1055,1586,4959
ENSG00000039319,199,80,172,326,351,391
ENSG00000039523,76,30,59,94,78,47
ENSG00000039560,10,0,2,0,10,153
ENSG00000039600,0,0,3,11,5,5
ENSG00000039650,832,429,436,469,430,1012
ENSG00000040199,506,211,258,298,404,951
ENSG00000040275,132,46,63,93,102,1011
ENSG00000040341,676,236,115,104,135,516
ENSG00000040487,46,21,12,16,6,85
ENSG00000040531,53,25,19,61,188,556
ENSG00000040608,7,2,0,0,1,21
ENSG00000040633,314,117,213,265,280,1160
ENSG00000040933,1908,866,760,930,879,1064
ENSG00000041353,91,13,19,20,16,11
ENSG00000041357,1741,639,565,779,1070,8505
ENSG00000041515,80,41,36,27,13,7
ENSG00000041802,676,358,465,604,949,2497
ENSG00000041880,161,65,24,29,17,166
ENSG00000041982,0,0,0,7,22,33
ENSG00000041988,139,30,75,60,69,296
ENSG00000042062,6,9,10,7,4,17
ENSG00000042088,1235,487,435,639,720,2165
ENSG00000042286,27,7,9,10,6,339
ENSG00000042317,31,21,16,6,7,54
ENSG00000042429,1060,549,565,663,793,1327
ENSG00000042445,159,82,96,125,125,408
ENSG00000042493,387,67,78,96,133,215
ENSG00000042753,403,107,88,88,120,892
ENSG00000042781,0,0,0,1,0,0
ENSG00000042813,0,0,0,3,0,0
ENSG00000042832,12,4,9,22,57,37
ENSG00000042980,141,49,80,34,48,16
ENSG00000043039,0,0,0,0,0,0
ENSG00000043093,1371,411,360,396,329,1259
ENSG00000043143,2810,993,1119,1123,851,2378
ENSG00000043355,0,1,0,1,0,0
ENSG00000043462,5409,1801,2844,6725,11053,4946
ENSG00000043514,120,31,58,157,348,835
ENSG00000043591,2,1,0,0,2,0
ENSG00000044090,88,63,63,94,107,470
ENSG00000044115,611,158,79,176,382,1016
ENSG00000044446,722,353,302,230,268,614
ENSG00000044459,59,7,9,6,1,60
ENSG00000044524,0,0,0,0,0,0
ENSG00000044574,9405,3910,4660,3965,2862,10272
ENSG00000046604,11,1,1,4,3,1
ENSG00000046647,148,49,64,99,222,177
ENSG00000046651,1213,637,841,1164,1208,894
ENSG00000046653,3,2,18,2,1,2
ENSG00000046889,1,0,1,0,2,0
ENSG00000047056,541,192,300,624,545,450
ENSG00000047188,1004,656,749,979,825,1378
ENSG00000047230,114,61,26,15,20,126
ENSG00000047249,1275,508,578,549,356,1263
ENSG00000047315,1985,1003,1060,1266,1653,6447
ENSG00000047346,2767,1388,1541,1295,446,304
ENSG00000047365,3622,1394,1355,2120,2922,1561
ENSG00000047410,4215,2211,2382,2681,3439,7175
ENSG00000047457,2,1,1,0,0,0
ENSG00000047578,330,186,199,180,223,414
ENSG00000047579,361,126,55,84,121,420
ENSG00000047597,14,3,1,0,0,1
ENSG00000047621,358,108,94,91,200,1158
ENSG00000047634,242,269,351,499,331,74
ENSG00000047644,529,164,190,139,177,252
ENSG00000047648,25,2,8,0,3,0
ENSG00000047662,12,4,17,8,0,0
ENSG00000047849,2249,643,508,518,951,4780
ENSG00000047932,239,62,101,189,334,662
ENSG00000048028,214,71,74,70,77,410
ENSG00000048052,139,29,28,28,60,55
ENSG00000048140,203,70,56,65,78,574
ENSG00000048162,246,111,129,485,1501,4028
ENSG00000048342,4,2,2,1,0,4
ENSG00000048392,214,95,135,237,235,568
ENSG00000048405,2665,1010,994,917,988,1437
ENSG00000048462,4,0,0,0,0,2
ENSG00000048471,1511,509,490,302,198,433
ENSG00000048544,427,96,117,132,262,1194
ENSG00000048649,3513,1306,1161,1282,1147,1177
ENSG00000048707,3754,2069,2195,2267,2562,3214
ENSG00000048740,6865,3408,3024,3850,3877,5319
ENSG00000048828,3149,973,816,785,1593,4895
ENSG00000048991,2716,666,445,379,462,2465
ENSG00000049089,67,12,29,26,24,65
ENSG00000049130,0,0,0,0,0,1
ENSG00000049167,104,35,39,46,78,345
ENSG00000049192,55,16,28,13,12,42
ENSG00000049239,707,213,200,229,253,307
ENSG00000049245,1171,347,288,297,227,252
ENSG00000049246,290,124,149,160,220,372
ENSG00000049247,7,3,5,2,2,0
ENSG00000049249,29,10,45,366,2135,1679
ENSG00000049283,0,0,0,0,0,0
ENSG00000049323,64,19,20,0,2,6
ENSG00000049449,112,42,67,52,214,709
ENSG00000049540,0,0,1,0,0,0
ENSG00000049541,314,86,119,178,181,1922
ENSG00000049618,6598,2819,2292,1759,1879,3328
ENSG00000049656,681,297,437,763,1373,3994
ENSG00000049759,232,129,99,113,215,193
ENSG00000049768,128,52,56,157,402,591
ENSG00000049769,137,47,37,34,40,84
ENSG00000049860,970,236,272,277,317,1125
ENSG00000049883,130,25,37,48,74,574
ENSG00000050030,23,3,0,9,3,7
ENSG00000050130,302,74,63,123,90,757
ENSG00000050165,0,0,0,0,0,0
ENSG00000050327,94,21,41,34,40,102
ENSG00000050344,24,14,85,166,367,1372
ENSG00000050393,151,43,40,64,130,1232
ENSG00000050405,241,77,109,217,190,2653
ENSG00000050426,2711,550,507,608,673,1903
ENSG00000050438,33,11,7,25,21,50
ENSG00000050555,14,2,4,3,0,12
ENSG00000050628,0,1,2,3,10,4
